,mass_gev,limit_cm2
0,0.05,5.590488732467167e-13
1,0.07,1.3111263381653958e-13
2,0.08,7.287055749231615e-14
3,0.09,4.419383340975256e-14
4,0.1,3.604826682058437e-14
5,0.125,4.032641940820212e-14
6,0.15,6.871300189453259e-14
7,0.175,1.3720738351628952e-13
8,0.2,1.554125162115846e-13
9,0.225,1.3171541310799297e-13
10,0.25,1.1023789110668544e-13
11,0.275,9.199528518422369e-14
12,0.3,8.12200871437705e-14
13,0.325,7.310246892239134e-14
14,0.35,6.731843124641563e-14
15,0.375,6.231017226097524e-14
16,0.4,5.840063429142532e-14
17,0.425,5.58249669589457e-14
18,0.45,5.387814240506388e-14
19,0.475,5.358421260717395e-14
20,0.5,5.388207451421397e-14
21,0.525,5.485715853152996e-14
22,0.55,5.628265995247012e-14
23,0.6,6.124155475989166e-14
24,0.7,3.281228682737367e-14
