,mass_gev,limit_cm2
0,0.05,1.5791248990824999e-16
1,0.07,5.1848868385726554e-17
2,0.08,3.293356763686208e-17
3,0.09,2.2469886786875396e-17
4,0.1,2.0364844087623296e-17
5,0.125,2.8477140383320567e-17
6,0.15,5.822733076208556e-17
7,0.175,1.3564763673805054e-16
8,0.2,1.755952194687424e-16
9,0.225,1.6742326882928895e-16
10,0.25,1.5569246894098327e-16
11,0.275,1.4292064399291038e-16
12,0.3,1.3765164519822958e-16
13,0.325,1.3421841515048612e-16
14,0.35,1.3310633689629535e-16
15,0.375,1.320039479446401e-16
16,0.4,1.3196970804533159e-16
17,0.425,1.3403373050885537e-16
18,0.45,1.3696885591528893e-16
19,0.475,1.4378949669031455e-16
20,0.5,1.5219872456851174e-16
21,0.525,1.6270065915402844e-16
22,0.55,1.7487752747182043e-16
23,0.6,2.0758413500035569e-16
24,0.7,1.2975713259850579e-16
