,Unnamed: 0,median,2ul,ul,dl,2dl,wimp_mass
0,0,2.258471777328916e-16,3.5229479374536636e-16,2.922526140841383e-16,1.5791248990824999e-16,1.1277886740009233e-16,0.05
1,1,7.374830202544e-17,1.1460280536379086e-16,9.495789576293127e-17,5.1848868385726554e-17,3.605945030209527e-17,0.07
2,2,4.7033571978916395e-17,7.23283284669404e-17,6.060363293779117e-17,3.293356763686208e-17,2.2732599188222798e-17,0.08
3,3,3.173817151567055e-17,4.8759906573486806e-17,4.068787639729961e-17,2.2469886786875396e-17,1.571249475435487e-17,0.09
4,4,2.9216238512397575e-17,4.4504330643695306e-17,3.739363094983474e-17,2.0364844087623296e-17,1.41171202514341e-17,0.1
5,5,4.101642138691098e-17,6.24919428557111e-17,5.243921818744643e-17,2.8477140383320567e-17,1.968296552576539e-17,0.125
6,6,8.340868590038721e-17,1.2795541359802003e-16,1.0685493187249966e-16,5.822733076208556e-17,4.0147983532753416e-17,0.15
7,7,1.1927193708850847e-16,1.837256606441943e-16,1.552762211830688e-16,8.431211592236448e-17,5.695164710576949e-17,0.175
8,8,1.231168710007696e-16,1.8990709596982606e-16,1.5937146920597173e-16,8.553034397979742e-17,5.896842741812927e-17,0.2
9,9,1.0428784766163751e-16,1.6184866979058287e-16,1.3491731952334374e-16,7.207312433837219e-17,5.1177560998070647e-17,0.225
10,10,9.284240188661332e-17,1.4229064826989908e-16,1.2020121610136117e-16,6.337878351865422e-17,4.510297830044589e-17,0.25
11,11,8.386159568660027e-17,1.2848444548963591e-16,1.0809569492337005e-16,5.775830734436134e-17,4.038821376927166e-17,0.275
12,12,7.997882409536479e-17,1.2354292806652228e-16,1.0376148035553797e-16,5.591657295769188e-17,4.0030392799238297e-17,0.3
13,13,8.139376126332378e-17,1.2378609082232207e-16,1.0331517089612935e-16,5.743202772040904e-17,4.018048310900824e-17,0.325
14,14,8.257345138289622e-17,1.2579087612017246e-16,1.0586844159471927e-16,5.807449056190878e-17,4.008065582148925e-17,0.35
15,15,8.521192670175378e-17,1.295797402009863e-16,1.0949962237869551e-16,5.927042826277817e-17,4.2294501291148096e-17,0.375
16,16,8.907096545987269e-17,1.3567658454589184e-16,1.134763078281116e-16,6.311220382497743e-17,4.440447266395448e-17,0.4
17,17,9.319815639230395e-17,1.4159113797136558e-16,1.1965797742150457e-16,6.566471428812108e-17,4.648355749405881e-17,0.425
18,18,9.963852459426442e-17,1.5228086160984294e-16,1.2794580905857715e-16,7.027395450682e-17,4.9815249960126705e-17,0.45
19,19,1.0880798918798593e-16,1.6626165987224966e-16,1.3969473538322749e-16,7.614752438036089e-17,5.457215385073644e-17,0.475
20,20,1.1996631514121932e-16,1.8543736367277692e-16,1.5450564313564456e-16,8.388212490605563e-17,5.951598483595936e-17,0.5
21,21,1.3274296287092299e-16,2.079233691800555e-16,1.7073014336755046e-16,9.191926411429606e-17,6.602643556651272e-17,0.525
22,22,1.465675321536795e-16,2.333726660442049e-16,1.9027557331923266e-16,1.0212052204946477e-16,7.211371597415282e-17,0.55
23,23,1.8236835640357297e-16,3.174355817403665e-16,2.41594937743968e-16,1.2464048950615843e-16,8.826039201493773e-17,0.6
24,24,1.226632496356129e-16,2.5661116293879454e-16,1.7033329298954149e-16,8.276245396601544e-17,5.821985631869194e-17,0.7
