,mass_gev,limit_cm2
0,0.04,1.416484487582833e-40
1,0.05,4.65859954171255e-41
2,0.06,2.4615639346396405e-41
3,0.07,1.5445008247817916e-41
4,0.08,1.182816264725135e-41
5,0.09,9.700158432635148e-42
6,0.1,8.639853811798812e-42
7,0.2,6.293872585744784e-42
8,0.3,6.645976394491667e-42
9,0.4,7.800706656326181e-42
10,0.5,8.990127659797818e-42
11,0.6,1.053442716046565e-41
12,0.7,1.1592656840690328e-41
13,0.8,1.2642203209578858e-41
14,0.9,1.3861588372981292e-41
15,1.0,1.5408981574146648e-41
16,2.0,2.77851503468783e-41
17,3.0,4.046006550417839e-41
18,4.0,5.408292777379253e-41
19,5.0,6.66226778265131e-41
20,7.0,9.051996114137623e-41
21,10.0,1.2857127573352114e-40
