,median,2ul,ul,dl,2dl,wimp_mass
0,2.8304209356059456e-40,6.402238149122361e-40,4.5833934521546e-40,1.416484487582833e-40,7.175236734804517e-41,0.04
1,9.422480499582121e-41,2.107806282149278e-40,1.5068460957223275e-40,4.65859954171255e-41,2.3662304506774477e-41,0.05
2,4.910091443392583e-41,1.1111577895173978e-40,7.984343402445224e-41,2.4615639346396405e-41,1.2039687853978355e-41,0.06
3,3.2083306548872067e-41,7.177300326011864e-41,5.152333260213368e-41,1.5445008247817916e-41,7.860387533736291e-42,0.07
4,2.4085802999282325e-41,5.458278996621555e-41,3.8694965329886396e-41,1.182816264725135e-41,6.356107406747001e-42,0.08
5,1.936853191113645e-41,4.496057629503639e-41,3.1785081830333823e-41,9.700158432635148e-42,4.8973429165055264e-42,0.09
6,1.723003667757968e-41,3.887738172886597e-41,2.812839286421461e-41,8.639853811798813e-42,4.246082909971149e-42,0.1
7,1.2413795355381998e-41,2.8318842196863954e-41,2.0258357040608988e-41,6.293872585744785e-42,3.056294653877309e-42,0.2
8,1.3628437669789512e-41,3.1448302512079726e-41,2.22569983729516e-41,6.645976394491668e-42,3.381592462455076e-42,0.3
9,1.570729526868104e-41,3.5988724765301503e-41,2.611905568427442e-41,7.800706656326181e-42,3.8532364073662055e-42,0.4
10,1.8233083727075289e-41,4.1906488460041083e-41,2.9873935932232983e-41,8.990127659797818e-42,4.6534620301313316e-42,0.5
11,2.0680795516443568e-41,4.6963172472251e-41,3.3692890327819363e-41,1.053442716046565e-41,5.2080514882646213e-42,0.6
12,2.2872796263058676e-41,5.243630974111615e-41,3.760875923189637e-41,1.159265684069033e-41,5.5454578458607726e-42,0.7
13,2.575332850190731e-41,5.95575610851321e-41,4.217795431821958e-41,1.2642203209578858e-41,6.216968711966741e-42,0.8
14,2.8518942984551973e-41,6.532135285692904e-41,4.655527203471416e-41,1.3861588372981292e-41,6.964755890482778e-42,0.9
15,3.069077657754438e-41,7.05472189812696e-41,5.017852657185532e-41,1.540898157414665e-41,7.725753058766215e-42,1.0
16,5.689347072952799e-41,1.2981149423702939e-40,9.343624038312391e-41,2.77851503468783e-41,1.3257364592564077e-41,2.0
17,8.257974769414115e-41,1.900320259671401e-40,1.3566658818128665e-40,4.0460065504178386e-41,2.0264380431871573e-41,3.0
18,1.0956782533981518e-40,2.5059773245552265e-40,1.7973451949081731e-40,5.408292777379253e-41,2.745422030105467e-41,4.0
19,1.3663024085052208e-40,3.1145956175622166e-40,2.2295319522158883e-40,6.66226778265131e-41,3.3485458131074675e-41,5.0
20,1.896753279472823e-40,4.353267532018963e-40,3.077112619171349e-40,9.051996114137625e-41,4.599573890578905e-41,7.0
21,2.615781687519779e-40,6.126952924261003e-40,4.36034010153928e-40,1.2857127573352116e-40,6.51069604144398e-41,10.0
