,median,2ul,ul,dl,2dl,wimp_mass
0,5.133413690282618e-41,1.1932189229859818e-40,8.263187604335485e-41,2.4479669453140305e-41,1.2616513256211997e-41,0.04
1,2.361310314318601e-41,5.514474945483001e-41,3.85980567762822e-41,1.179329991840142e-41,5.753116238791084e-42,0.05
2,1.4913268266976672e-41,3.4605713349808e-41,2.4554760786013416e-41,7.248402700899872e-42,3.6293294918895043e-42,0.06
3,1.0888220103101052e-41,2.563085218577984e-41,1.8105020699883457e-41,5.492133176668899e-42,2.6088985830297933e-42,0.07
4,8.92872674196404e-42,2.0872781740804881e-41,1.4761782833490867e-41,4.4330799990967196e-42,2.142194746815169e-42,0.08
5,7.814207281095749e-42,1.8279537408723097e-41,1.2992624185876145e-41,3.9385460468549274e-42,1.8547552751481986e-42,0.09
6,7.245720780804194e-42,1.6640785663678138e-41,1.1699713257632194e-41,3.3950597151551025e-42,1.7381744913706672e-42,0.1
7,6.503058423186783e-42,1.476437406408201e-41,1.0599256042720921e-41,3.2027759717566585e-42,1.5731932215051156e-42,0.2
8,7.598895387859204e-42,1.7418804255157654e-41,1.2368801870062376e-41,3.753020130638149e-42,1.7206691385536877e-42,0.3
9,8.5726335459565e-42,1.995310433884096e-41,1.39912056692348e-41,4.252717714657498e-42,2.039086433786052e-42,0.4
10,9.508537318782817e-42,2.2285220560572783e-41,1.5836325485216414e-41,4.664643692602864e-42,2.3428277807372516e-42,0.5
11,1.0811946731404651e-41,2.521771834598557e-41,1.7620902472264907e-41,5.1709138778107045e-42,2.6159502204205314e-42,0.6
12,1.247358930954375e-41,2.8221134894632345e-41,2.0074441765132396e-41,6.095619182645598e-42,2.9032947769484077e-42,0.7
13,1.4040521380338352e-41,3.2116454552789525e-41,2.2388925148146562e-41,6.584278168698105e-42,3.299203701801714e-42,0.8
14,1.4470595554414554e-41,3.433037132546293e-41,2.388683470593406e-41,7.042460884819355e-42,3.314617774154265e-42,0.9
15,1.5925255890683155e-41,3.575494500388905e-41,2.575160525007855e-41,7.464854432118498e-42,3.744387407828904e-42,1.0
16,2.855106574377304e-41,6.565966242222547e-41,4.457505283943834e-41,1.3939218817648452e-41,6.152894286463531e-42,2.0
17,3.932338423703671e-41,9.156267967459684e-41,6.556069242323483e-41,1.916649842318348e-41,9.210039516355958e-42,3.0
18,5.135099095942256e-41,1.1963154896906431e-40,8.549870975473068e-41,2.5125058962254406e-41,1.2536026956390014e-41,4.0
19,6.387405764022963e-41,1.477430779554324e-40,1.06173447278438e-40,3.0866037513808704e-41,1.5658890051384106e-41,5.0
20,8.69578608422356e-41,2.0632050173216173e-40,1.4560802680978457e-40,4.2455311609564214e-41,2.0523696929792022e-41,7.0
21,1.2583199351560777e-40,2.8697648559293614e-40,2.034577460553643e-40,6.135870956117891e-41,2.914003901656981e-41,10.0
