,mass_gev,limit_cm2
0,0.04,3.6200056707942866e-41
1,0.05,1.6697221895302924e-41
2,0.06,1.028520531788624e-41
3,0.07,7.304327769329593e-42
4,0.08,5.744069461960637e-42
5,0.09,5.080279235631862e-42
6,0.1,4.6068205985437085e-42
7,0.2,3.759817538122474e-42
8,0.3,4.458034827427152e-42
9,0.4,5.5062103432674676e-42
10,0.5,7.158552150343324e-42
11,0.6,8.761031753296882e-42
12,0.7,1.0311507108051452e-41
13,0.8,1.1967372354120916e-41
14,0.9,1.3442521884916975e-41
15,1.0,1.4996487039571795e-41
16,2.0,3.142541741366566e-41
17,3.0,4.671923421713933e-41
18,4.0,6.313994588862435e-41
19,5.0,7.888937472564761e-41
20,7.0,1.1145538628720864e-40
21,10.0,1.5934485856256511e-40
