,median,2ul,ul,dl,2dl,wimp_mass
0,3.759171400867429e-38,1.2332404431750014e-36,2.6274741131036277e-37,4.3285211257998074e-39,5.069127019483697e-40,3.0
1,2.509140161841125e-39,1.6433893360646264e-38,7.31400795255013e-39,7.331543068500026e-40,1.5588611086472672e-40,4.0
2,8.31619786887113e-40,3.744643798223387e-39,1.9492944533440105e-39,2.9613863751119814e-40,9.013019709311903e-41,5.0
3,4.753583604646456e-40,1.7827102483014356e-39,1.0006429874210212e-39,1.9309221422991326e-40,6.257441240018136e-41,6.0
4,3.5426329141350853e-40,1.1899918132898585e-39,7.264640969389041e-40,1.512934960055428e-40,5.463916344689749e-41,7.0
5,3.026412843705425e-40,9.147700517973808e-40,5.733200150369203e-40,1.3027681923800889e-40,5.003151705757247e-41,8.0
6,2.755622151993187e-40,8.373484415729555e-40,5.268423335193783e-40,1.1976806252349947e-40,5.067571776316305e-41,9.0
7,2.645582790468345e-40,7.65069641169632e-40,4.965704593382309e-40,1.2237113376353147e-40,5.095087580895112e-41,10.0
8,2.57759349818913e-40,7.398059850802837e-40,4.7453021261108496e-40,1.1689248633857927e-40,5.114454588259421e-41,11.0
9,2.612282737215197e-40,7.280352193958483e-40,4.764470608188242e-40,1.223774915991715e-40,5.395825538430933e-41,12.0
