,median,2ul,ul,dl,2dl,wimp_mass
0,1.3625693273435393e-42,3.082764577900211e-41,6.862033784319094e-42,2.43892386064776e-43,4.576333514169862e-44,3.0
1,5.942527683906492e-44,2.7125294342127358e-43,1.3830874620280492e-43,2.1790407580169873e-44,7.68198314840671e-45,4.0
2,1.4015884168569868e-44,4.582974748324427e-44,2.744030071888281e-44,5.971321822680576e-45,2.536846249051204e-45,5.0
3,6.589972480127446e-45,1.7810609827548488e-44,1.1670465100357126e-44,3.067554676620969e-45,1.3719624106044936e-45,6.0
4,4.0570622789190815e-45,1.0233446577222192e-44,6.868732453322843e-45,1.9046026906621637e-45,8.977763431784088e-46,7.0
5,2.8812745069190974e-45,7.248882155910303e-45,4.858035489843438e-45,1.3752466771686314e-45,6.318928111271213e-46,8.0
6,2.2458349211770433e-45,5.4690218300002514e-45,3.742809139768235e-45,1.045553730813509e-45,5.248914938544219e-46,9.0
7,1.729921158604667e-45,4.269095128516644e-45,2.867843997906213e-45,8.046655211978403e-46,3.7982671348365085e-46,10.0
8,1.4144976628091807e-45,3.527523140167089e-45,2.410786298529659e-45,6.822606425822586e-46,3.4399432309755493e-46,11.0
9,1.2093663645740093e-45,2.966299081297213e-45,2.0227958960258947e-45,5.846984768098913e-46,2.8937068951616395e-46,12.0
